is_bad,text
0,telkomsel taff cha mohon maaf saya bantu cek terlebih dahulu dan tunggu respon selanjutnya via dm terima kasih dira
0,timbangan buah akan bermasalah kalau sudah mulai mendukung salah satu buah duku atau salak mau dikalibrasi dgn kitabu
0,"Bung ini saya akui jago sebagai komentator dan analis bal-balan, salah satu yang terbaik di sini. Tapi nalar dan logikanya soal harrasment ke Via Vallen dangkal, picik, dan memalukan betul."
0,saya muak dengan keputusan offside yang sebetulnya onside yang sangat sangat sering dilakukan oleh para hakim garis di liga sepakbola indonesia . saya kesal dan malu . terima kasih .
0,rindu dahi kita jugaa
0,indihome lemah otak parah . mahal doang stabil kagak
0,heh justru aku iri sama yang ambis aku tu ya sumpah ngantukan sekos nih sama anak fk
0,sapa nak layan perangai annoying aku ni nanti wei
0,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang
0,"mana nih lama sekali konfirmasi nya ? ini sudah dibayar , sudah mengirimkan bukti tf , tetapi e - tiket tetap tidak keluar ? kok kecewa saya itu : kan tidak bisa digantungkan begini --"
0,aku monanges
0,dendam menyebabkan imunitas tubuh kita mati disitulah bermula awal segala penyakittress kolesterol tinggi darah tinggi jantung dll
0,"Ntan busuk banget, temen kok kamu gituin. Aku busuk nih, trus sadar, udah minta maap, gak dimaapin nih, yaudah terus aja aku busuk. Dan gak pernah bisa difermentasi ke hal baik lagi. Makanya, skarang biarin lah aku hidup bergelimang karma dari kalian."
0,"salah satu restoran sunda favorit saya di bandung . namun setelah terjadi beberapa kali , saya berpikir ulang untuk kembali . saya membawa keluarga dan anak-anak untuk makan siang di sini . sayang nya banyak menu yang kosong ikan nya ada , tapi yang memasak lagi salat jam at - padahal sudah pukul 30 saya ib ! dan bau rokok . meskipun menurut saya tempat ini tertutup , namun menurut staf nya merokok ."
0,aku tak dapat hidup tanpa sahabat baik ku aku bahkan tak dapat membayangkan dunia tanpa sahabat baik ku erzacarlet
0,Sama sekali nggak. Arab lokal nggak peduli kok dengan cara berbusana orang lain. Banyak Arab pendatang dan nggak semua berhijab. Orang Asia dan bule bahkan bisa pakai tanktop dan celana pendek ke mall.
0,"rakyat mah tidak panik sudah biasa hampir 4 tahun belakangan ini di kibulin terus , istana itu yang panik segala jurus tipu sudah dikeluarkan tetapi tidak mempan rakyat nya dah pada pinter , kecuali penghuni kolam butek yang masih senang diumpankan tipu tipu hap hap hap"
0,malang selalu dikucilkan ketika kita belajar salah sedikit dimaki seluruhnya tapi tidak berkaca pada send
1,"kota bangsat yang pernah gua temukan ya ini berani terrokyokan hahaha nongkrong juga mentok nya di tepian . kasihan , kagak ada tempat lain ya ."
0,"ulama di dzolimi , tetapi anies hanya diam ! anies itu hanya memanfaatkan suara islam untuk politik ."
0,kalau tak bersungguh nak jaga aku boleh je berhenti berpura aku boleh jaga diri aku tanpa memaksa kau kau tak perl
0,indosat sudah tidak cari lagi : aku mau marah rasanya
0,marah banget dengan kelakuan supporter bola yang biadab kalian sama sekali gak keren dengan membunuh supporter lawan olah
0,keadaan yang paling tak best bila tengah tengah memikirkan orang yang tidak hargai kita
0,tidak rekomendasi kalau buat anak-anak kayak nya mbak . becandaan dan obrolan nya ada yang dewasa . dari lsi juga keterangan nya untuk di atas 17 tahun
0,askmf jadi kan tadi aku baru download gojek terus pas mau masukin kode nya belom aja di ketik tapi tiba udah ter
0,aku dan kisah miskinku
0,iya ka gimana ya gapaham aku ehe
0,Apak kasar do aku kejut orang Kesian bbyboo kita Maaf
0,"Dari cerita yg aku baca itu, jujur aku sebel banget bacanya. Kenapa sih udah mau dipoligami tapi masih disiksa batinnya, kalau emang udah gabisa adil dilepasin aja. Dan buat mbak istri pertama mending pisah aja mbak, hidup free as a bird. Kadang gengsi mengalahkan hati."
0,tempat nya bagus . hanya saja playanan nya terkesan judes dan semau nya . kurang senyum . harga termasuk mahal untuk porsi steak salmon dan sirloin yang kecil .
0,kalau tak bersungguh nak jaga aku boleh je berhenti berpura aku boleh jaga diri aku tanpa memaksa kau kau tak p
0,"kalau asli mungkin kekuatan nya sama dengan baterai bawaan laptop , kekuatan baterai cuma sejam doang"
0,kalau dia boleh buat aku bahagia buat apa aku tinggalkan kan
0,"kalian tahu ? kino selalu senyum melihat universe pas per recording hari ini padahal dia tahu news itu bakalan keluar dan hiu ? kita tahu sendiri dia jelek banget akting nya , tidak bisa menyembunyikan sesuatu . iya , dia diam saja selama per recording hari ini . sedih ? banget ."
1,bar bar om bajingan memang mereka
0,di layar kaca ya ada 2 goresan . tolong di bagusin lagi kualitas nya
0,pihak dealer ga nyanggupi dan dia tetep ngotot h masa ndak isa se cust ndak bisa bu maaf h berapa duit
0,sudirmanaid bandingkan penanganan gempa eraby dan jokowi fadli zon pemerintah tahap ini lemah v
0,pinned chat kat ws dok atas sekali ws dua hari lepas tak read read tapi dp ws dah   kali aku tengok ubah ubah em ok laa
0,"seriously , saya sangat kecewa dengan kota tua . jadi banyak tenda-tenda jadi sama sekali tidak berasa tua . sangat mengecewakan . plus kotor ."
0,kaga lah gw jg bukan cw tolol si daniel co bule mau numpang hidup di jkt am ce yg bs kasih dia kemudahan hidup disini ga deh sorry biar jelek tua gw ga sudi dimanfaatin doang
1,"yang anjing itu bangsa sipit lu . kenapa masih mengemis di negara kami anjing , bangsat . sumpah naik darah aku . memang bangsat orang ini ."
0,"Suatu saat akan terjadi.... jika tdk ada tindakan dari aparat, terpaksa harus dilakukan tendangan bebas"
0,"Setuju bang yg beginian bikin hidupnya gk tenang aj ya,gk mikirin yg lain ky gmn nyari orderan pengen enak sendiri aj jadinya ,gw aj gedeg bener yg bikin opik begituan"
0,tidak kangen
1,si gendut kalau saya yang suruh ogah jalan! dasar kebo!
0,wqwqwq kan kita udah putus
0,mulai bosan nih sama pekerjaan yang sekarang
0,"kasihan admin baca nya om . anggarkan ginian . campur aduk antara kesal , dongkol ."
0,"Barusan diejek anak-anak ig. Katanya twitter udah ketinggalan zaman. Jokes-nya banyak copas. Di Instagram lebih ori katanya. Lah. Gak tau dia kalau di Twitter kebanyakan user-nya lebih ""dewasa"" dan kontennya lebih bagus daripada di Instagram.."
0,"Isu Kristenisasi itu sama saja dgn isu kebangkitan PKI. Tanpa data, minim fakta dan bilapun ada tak lebih dari oembingkaian di kuar konteks! Isu yg dibuat untuk membangkitkan hantu demi keuntungan politis dan ekonomis."
0,menyesal tiba tiba beli kuota tadi siang
0,bila kita suka dengan kesalahan saudara kita itu tanda penyakit hati dan hati yang berpenyakit takkan bisa menyembuhkan lain hati
0,paham sosialis komunis adalah paham yang sesat dan bahaya . dan sekarang harus diwaspadai dan dicegah
0,lenovo overheat banget nih
0,"Sumpah ih mau jadi warga negara Thailand aja pas bencana nasional kek gini semuanya saling bantu bukannya saling tuding dan bacot berasa paling bener sendiri, di sosial media lagi. Bawa kepentingan politik lagi. Lagi musibah malah ditunggangin kepentingan sampah."
0,"iPhone tak mahal aku rasa Ikut market price and purchasing power negara yang guna Bagi aku Ringgit Malaysia yang rendah ,"
0,"kami rombongan dengan 250 orang habis melakukan kegiatan outing tahunan dan makan siang di riung sari tapi kami sangat kecewa dengan pelayanan yang sangat mengecewakan makanan pesanan kami kurang tidak ada meja , sendok , dan terkesan seadanya sehingga sebagian kawan kami pulang ke jakarta dengan perut kosong . kami sangat kecewa . not rekomendasi dan riung sari masuk hitam daftar resto perusahaan kami ."
0,Blm tentu yg bilang gitu kerja nya bener. Mending disebut plenga plengo tapi kerja nyata hasil banyak drpd banyak nyinyir hasil nol besar. Sukses selalu untuk pakde dan para pendukungnya
0,MELAYU LIBERAL kan Umpan pki cacing jee DAP pki songkok dah cukup modal utk pangkah PHtop press confere
0,runtuh dan tidak majunya banyak negara karena penegak hukum tidak adil dan menjadikan aparat hukum sebagai abdi kekuasaan
0,kasihan banget umat jadi bodoh begini dan mental rusak karena ajaran agama yang tidak benareba
0,yakin kamu bukan penakut tag teman kamu yang selalu takut dan lari setiap liat anjing galak
0,aku ada buat salah ke
0,duit mak bapak aku banyak habis sebab kau tau tak dah la pemboros lepastuh jenis tak hargaiuka rosakkan barang
0,kamu harus tahu tanda tanda kalau temanmu ternyata itu fake friend yang wajib kamu jauhi ini tanda tandanya  pertemanan
0,"hari sabtu tanggal 11 juni 2016 . kami mengunjungi kampung daun untuk makan malam bersama keluarga , pada saat makanan dan minuman tiba kami meminta peralatan seperti sendok dan garpu karena belum tersedia . hal tersebut saja kami menunggu kurang lebih 30 menit . minuman pun juga demikian kami memesan teh manis tetapi sendok untuk mengaduk gula pun tidak ada ."
0,mb aku emang bangsad maafkan aku
0,setuju gua dengan pak rocky gerung . isi orang istana semua kerja nya selalu koar-koar . tidak bermutu .
0,nah koleksi wallpaperuperman yang aku ada kalau ada yg nak tambah meh ler tambah
0,yg paling njeglek itu ya jaman cmb dah lah pathcode tuh kurang keren apa ternyata mv nya sehun nyeker
1,malaysia pecundang berani dinegara nya saja . gua bakar lu anjing malaysia
1,lama lama koneksi telkomsel seperti anjing . merasa benar-benar marah di simpang sakinah palas
0,selama ni mmg ketinggian tk pernah jdi penghalang rupa yg selalu menjadi penghalang
0,kamu pelupa tapi aku lebih pelupa teuing
0,hati hati kadang begitu ceroboh kamu bertindak sampai lupa dampaknya apa
0,anggota dpr yang terhormat tapi mulut seperti sampah tidak berkualitas !
0,hari ini hatiku hancur lebur dek kerana sikap anak aku sendiri anak kantoi menyamun di dobi layan diri ibu l
0,kamu agresif nder
0,maafin aku belum bisa jd yg sempurna sampai saat ini
1,zaddit mahasiswa goblok .
0,"ini orang otaknya ga pernah di sekolahin ya? itu resiko ketika udah upload sesuatu di sosmed, ya pasti bakal dapet perbincangan dari netizen. public figure kok ga ada otaknya."
0,aku tidak suka makan nasi
0,"Miris, marah, jengkel, gedeg saya Jeng. Jkt baru tahun dilola oleh orang-orang baik, hny dlm waktu bulan dirusak oleh orang-orang gila."
0,"untuk giggle box istana plaza , pada awal nya , kami sangat suka dengan tempat nya yang sangat menarik dan makanan yang enak , dan sempat merekomendasikan ke teman , tetapi setelah kunjungan yang ke 7 , tepat nya tanggal 13.08.13 pukul . 19.00 - / kami pesan grilled chicken dan chicken brisket schnitze , menu pertama sangat enak , tetapi ketika kami hendak makan potongan pertama menu kedua itu sangat tidak layak untuk dimakan ."
0,"Itu mbak nya ga pantes ngomong kasar walau harga fondaition nya selangit, toh ga bakal bisa cantik selama nya gara"" itu fondaition. Karena kecantikan itu hanya untuk smentara entar jga tua keriput trus mati, kecantikan di dunia ini hanyalah sementara"
0,merepak indah aku hahaha asa nk ketok jak palak pemerintah ya
0,dah curang satu hal lepastu nak salahkan laki tu pulak lagii ey geram pulak aku
0,menangis saat kita tau kelemahan kita hati
0,tidak indah
0,"jangan sampai dua kali tertipu partai cukong , bahkan hampir semua partai sudah dibeli ."
0,Pingkan ni suaranya enak banget.. bindeng2 gimana gt.. berciri khas.. ibarat gw merem denger suaranya gw udh langsung tauk
0,jangan anggap aku enggak ngei apa apa hue ommaaaaaaa
0,"Dgrin ini sampe bulu kuduk naik saking bgusnya, masyaallah apik bgt suaranya"
0,mau nya setelah dimundurin dengan menuduh pihak lain bu risma mau terima jadi cawagub . eh ternyata ditolak dengan beliau ... ! haha
0,berantakan
0,muka kamu yg tua maksudnya
0,"resto ini terletak di jalan braga , eye catching dibanding resto sejenis nya karena eksterior nya yang unik . saya bersama beberapa teman mampir untuk makan malam di sini saat malam minggu . kami pesan steak dan menurut kami semua rasanya biasa saja , nothing spesial . steak yang disajikan pun sudah tidak panas"
0,"Kami muak atas ketidak pastian hukum di rezim ini, hukum itu memberikan keadilaan serta kepastian bukan ketidakpastian!"
0,aku bukan orang kelantan but sometimes muak jugak aku dengan tweet macam ni be more specific la mention orang tu better ca
0,"buncis daging dan jamur goreng tepung jadi favorit di sini , hanya saja porsi kecil dan harga cukup mahal . buat saya sih kurang memuaskan ."
0,"Sekali , dua kali , tiga kali , lama bosan juga ya... krn berulang dilubang yg sama... lubang yg sengaja dibuat sendiri , spy terkesan orang lain yg membuatnya"
0,MasyaAllah . bagus banget ..
1,malam ini kamu saya ampuni karena saya tahu kamu memang goblok
0,adoh mending belajar baca dolo deh sbelum coment stat orang biar gx salah arti tuh haha malu loh asal coment tapi salah wkawka
0,tolong ya itu oknum pjh kandangin aja aku ga siap
0,"saya ke sini bersama beberapa teman untuk makan siang . akses jalan menuju lokasi kafe ini sangat sempit dan terjal , bahkan beberapa bagian rusak . sampai di sana cukup terhibur dengan pemandangan yang bagus dan beberapa art piece yang menarik , termasuk beberapa patung di bagian di luar . kami memesan beberapa menu makanan . setelah menunggu cukup lama , ketika makanan datang rasa dan tampilan nya mengecewakan . ternyata rasanya juga mengecewakan ."
0,bosan sama sinetron kisah anak orang seperti doang
0,"order warna hitam , tapi dikirim warna pink ."
0,aku tahu lah aku ni cengeng tapi cuba jangan cakap asyik nangis je lain orang lain cara dia luahkan kesedihan mujur aku t
0,islam tidak punya toleran
0,pengakuan pelaku mereka menjarah untuk keluarganya dan akan terus terjadi apabila pemerintah lamban memberi bantuan https
0,makin loner aku bila tengok benda ni
0,"program indosat tidak guna , merugikan konsumen ."
0,peristiwa tahun ini lebih melelahkan daripada sebelumnya
0,Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN
1,"Coba liat bibir mu sayang, seperti pantat ayam. Wajah mu bulukan seperti kentut perfectoooo?"
0,sepakat hanya saja saya kasih tahu kamu selera mereka rendah karena gak mau sama saya
0,"sudah lama enggak sampai nih . sudah sebulan loh , pelanggan marah-marah . gimana sih ."
0,partai munafik ! dulu jaman nya presiden suharto dan sby semua kebijakan nya didemo . eh sekarang apapun kebijakan presiden nya yang merugikan rakyat sepi demo .
0,sakdurunge koe dadi uler aku wes dadi kupu dadi saranku rasah perlu ngetoke goblokmu nganggo coro mbanggake bab nakalm
0,Aku gasuka sih tapi gondok dan dongkol dan mangkel aja . Dan kagetnya lagi dia mau meniqaaa . Semoga insyafmu ga abal abal ya mas ha ha ha semoga udah alim beneran cuma dia inget ga ya ttg habluminallah
0,bestfriends always known me well aku tak sempat nak cerita pun yg aku tgh sedih tiba tiba dia hantar lagu ni yang s
0,hi mohon maaf atas ketidaknyamanannya kami cek kendala yang kamu alami pada transaksi
0,"pegawai pertandingan juga . tolong yang perut nya buncit-buncit itu di ratakan saja , kebanyakan makan uang suap"
0,Yg dipermasalahakan itu ttg pengelolaan dana zakatnya. Dan itu jg sudah diingatkan gub seblm ttg pengelolaan yg mgkn saja ada yg tidak tepat.
0,saya tdk mencibir bro akan kterlibatan pihak luar anda baca lagi deh kalau anda ngarep bantuan ln lalu anggap k
0,"bosan banget sama pelayanan di hotel aston . mungkin lagi apes saja kali , ya , karena gue dapat pelayan yang menyebalkan . bikin kesal seharian ."
1,Cowok macam anjing cuihhh... Orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia...karena semua orang juga tau klo dia orang kaya... Orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh
0,ya allah serba salah aku ini
0,di masjid bahas bahaya narkoba setika itu aku langsung
0,kl mau jahat sama orang tuh coba pikir dulu dia pernah jahat gak sama kamu dia pernah ngecewain kamu gak dia baik kan kenapa kamu jahat
0,6 hari yang melelahkan tidak berbuah manis
0,"barang siapa menemukan komunitas lgbt yang membuat aliran islam sendiri masjid lgbt , imam lgbtdan lain-lain , saya harap segera bertindak tegas , kalau perlu rajam mereka , abaikan saja hukum jika negara tidak bisa bertindak tegas , rakyat punya hak untuk tegas ."
0,"sebenarnya kami ke the peak ini cuma karena penasaran karena pemandangan nya bagus . setelah menempuh sekitar 1 jam perjalanan dari bandung kota dan melewati jalan yang naik turun seperti kehidupan saya hahaha . sampai deh kami di tkp , sekilas dari luar sih biasa tapi begitu masuk ke dalam ternyata sama saja hahaha . menurut kami biasa saja seperti resto atau kafe di tempat lainnya ."
0,titik yang paling melelahkan ya ini
0,"yang suka sama indomi tidak usah lebay deh , itu mi biasa saja perasaan"
0,sedihnya rasa kadang kadang bila doa yg aku doa termakbul walaupun aku bukan hambanya yg terbaik allah tau apa yg kita pe
0,dan sampai detik ini pun lan indihome yang selalu dibanggakan telkom masih mati di mana rasa tanggung jawab kalian yang melayani pelanggan cobalah kalian memposisikan diri jika kalian menjadi saya yang selalu untuk bersabar dan menunggu yang tidak ada titik terang nya
0,kita dilarang taat kepada kemungkaran
0,hah lagi kamu tuh cari tempat yang enak jgn di kebon belakang rumah pak rw ya jelas digrebek
0,tidak lucu
0,aku weird gila dengan kaun upin ipin ni bukan ke rumah tok dalang dengan rumah opah diaebelah je apa pasal bila perigi jauh je berjalan
0,"Gak usah heran Bu,yg buat kebijakan dan jdi presiden skrg satu partaimu bersama pemimpin partai sang nyonya besar.."
0,pesan pasta dengan saus putih tapi saus nya kurang kental dan kurang rasa . kalau pasta nya sih dimasak nya pas tidak terlalu lunak cuma rasa saus nya kurang enak . salmon nya juga bumbu nya tidak enak . sangat mengecewakan .
1,gatau terimakasih memang anak setann jinggg
0,nda fitnah ya wleekkk emang kan bulu ketek kamu basah ewhh
0,tydack percaya aku
0,buat apa memilih suhari pane . sudah miskin tapi sok mencalon jadi bupati .
1,bayar saja harus cepat dan mahal . pelayanan lu tahi banget
0,yang paling aku benci adalah orang yang ingin mengambil hak kebebasanku kaito kid
0,"mau marah , kenapa jaringan indosat selalu jelek dan hilang terus"
0,orang macam ini mesti dirajam saja oleh masyarakat
0,"tidak ada yang spesial sebenarnya dari tempat ini , rasanya juga biasa saja juga . tapi makan di sini pelayan nya ramah , cekatan ."
0,"Saat terjadi sesuatu jgn langsung kau tunjuk musuhmu sebagai biang keroknya. Pelajari dan dalami dulu. Jangan langsung menuduh, itu juga fitnah namanya. Jika memang dirimu tahu dan ada bukti, tampilkan ke permukaan. Jgn hanya bisa menilai dengan asumsi."
0,kata nya tidak mau pakai uang negaralah ikut numpang pesawat tni itu tidak uang nya negara ? dasar pembohong
0,manusia berubah kita tak tahu berapa lama dia boleh stay dengan kita yang pastinya kita jangan terlalu berharap
0,"awal cerita saya bisa makan di resto ini adalah karena saya menginap di valley resort hotel pada tanggal 12 - 13 oktober 2013 kemarin , pas selesai cek in saya les penasaran untuk makan siang di resto ini dan begitu melihat buku menu saya dan suami les ternganga , harga makanan nya mahal kali bahkan ada yang sampai 675 - 700 ribu hanya untuk steak impor ."
0,iya dia memang buka twitter tidak buka hatinya untukmu dia hanya balas chatmu tidak balas perasaanmuu dia me
0,aku dan kisah miskinku
0,kuliah siang ini ngerasa kesel banget karena naha sih ga cuma sekali lantas yg salah dari saya teh apa kemud
0,aku salah wkwkwk
0,kesal
0,tidak yakin
0,tidak puas
0,yodah kalo kamu yakin juga emg apa manfaatnya buat orang lain disimpen sendiri aja bapaknyaomi
0,"Orang gila itu pengen HITZ cri tenar rela dipenjara? Cari sensasi settingan supaya beken smpe hina2 org astagfirullah... Sekaya apa sih Org kaya mulut nya ky sampah,ga sekolah ya"
0,kesal banget dari tadi jualan yakul tidak untung terus
0,"kecewa sama barista yang literally menambahkan additional tanpa bilang ada biaya nya . maksud gue , kalau harga akhir produk akan berubah wajar nya dikasih tahu sebelum dia input tidak sih ? apalagi sama new pelanggan"
0,orang orang pks sangat tidak berkualitas hingga kampanye negatif pun diperintahkan .
0,euum setuju sekaliii emang cantikan ini dari pada yang sebelumnya. Lebih WOW... terbaik terpelihara hehe
0,td mikirnya gtu pngn ngegas jg tp apalah aku ini hanya orng kecil tidak pnya pengaruh jd ngegasnya sia kwkwkwk
0,ehh tak faham la spesis macam kau ni pung pang pung pang cakap kena sound dengan big boss pasal kerja aku pastu
0,"Bisa gak si ego u di kurangi dikit, w gabisa kalo gini terus """""" minimal sampe kerjaan ini kelar aja, abis itu u slamanya gamau ktmu w jg gapapa"
0,aku benci soalan bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kira
0,biasalah tu perempuan kena berjaga jaga muka malaikat pun kadang perangai syaitan jugak aku pernah gak camni lari laju teruk
0,ini adalah teguran dari allah . sudah saat nya kalian sadar bahwa gubernur kalian jangan dipilih lagi . dia tidak bisa mengurus masalah banjir .
0,"Jaman itu harga komoditi booming, harga minyak bumi berapa? Membandingkan itu harus apple to apple. Dgn pertumbuhan segitu tapi proyek pada mangkrak!"
0,bagaimana indonesia bisa maju ? mau aja lo semua diperbudak keadaan . tolol sampai 7 generasi . dan mau-mau nya jogja diperbudak monopoli pertamina . pantesan miskin .
0,gue pikir setidaknya elu eh kamu eh kakak umurnya an di bawah gue pokoknya anjiiirrr Maaf maaf
0,"kecewalah gini . produk tak sama . ku aliti tiada , ku antiti pun tiada . hampa"
0,jika kita pilih dia maka akan ada lebih dari 300 kampung itu akan digusur .
0,saya tidak suka makan pisang
0,nuduh selingkuh kok habis putus kamu kok kayak aziz gagap lucumu garing
0,yang salah siapa masa yang ngalah harus saya !
0,Aman gmna mase. Org klo aman mah. Wsrga sekitar pasti senenh dong liat kaliqn dateng. Org bukti a aja warung dagangan di jarahin.. Itu maling kmrn gmna mase. Mending. Di urusin dulu. Biar gk panjang tangan
0,Yaelah.. sabar ya Vid. sampai lebaran monyet juga engga bakalan ditanggapin cepat ini kalo engga sering diserang dengan follow up tajam. Langsung ke plasa telkom atau telepon . Pengalaman sudah sering banget soalnya ini #telkom
0,apa guna aku amik lesen kalau tak bagi aku driveupportla anak ni sikittttt hem
0,aib
0,"dahulu , selalu mampir ke sini , harga oke , makanan oke , sate babi nya mantap sekarang , mungkin tanggal 3 juli 2016 kemarin menjadi saat terakhir ke sana , saya sangat kecewa , harga sekarang semakin mahal dibanding dengan rasa , tempat , kebersihan , apalagi disajikan sate babi bagian usus yang sudah asam rasanya"
1,"banyak bacoottt, rappiin tuh mulut dah kayak lobang tai aja"
0,"lah yaudah kaga usah diliat. atau lu ada gangguan jiwa kek gua? yang udah tau kaga demen, tapi diliatin mulu. toh duit juga duit dia. asal kewajiban dia sebagai istri&ibu gak terbengkalai mah. gua lebih gak suka dia karna beberapa sifat k"
0,"iya betul mba. Ariel gak ganteng. Tapi ariel punya kharisma yg menarik. Udah tua pun skrang agak keriput wajahnya ttp aja kharisma nya sebagai lelaki keliatan lebih terpancar. Buktinya mama, dan tante saya makin tergila2 sama ariel dan sa"
0,"hanya gara-gara menyinggung etnis china beliau ditangkap , tapi kalau china mencaci pribumi mereka aman-aman saja , bukti bahwa hukum sudah dibeli oleh para taipan ."
0,"bikin pegal juga enak bebas macet , coba sipil yang paket , terus jalanan macet ya segel"
0,"@w.lina2706 lucu aja ya sist, lonte di bela2 mati2an... Guoblok di pelihara, di bayar berapa gt sama muljamban, sampe bikin account mau maia nikah atau blm nikah apa urusan situ, kelihatan nyinyirnya sirik nya. Sekarang balik"
0,itu siapa yg bikin videonya bani cingkrang goblok bin pekok tolol kebina bina dr sblm zaman jokowi juga pintu
0,"dugem, obat obatan terlarang, pelacuran, miras engkau diamkan."
0,"Astagah, demen ama cewek dekil kumel. Ibaratnya dari nagita turun ke att. Nagita kaya emas att kaya barlen"
0,iya kak maaf aku salah
0,"When sexual harrassment jadi hot topoc di semua medsos. Diawali sm yucub opini mba gitasav, skandal gitasav yang rame ampe accoun twitter doi dideactive, dan diakhiri mbak Via Vallen yang blow up chat doi sam sam bule. Masih ga sold out thinking sama orang yang ngomong"
0,kamu ga laku laku unn
0,konflik
0,"kita pakai biznet dah mahal juga banyak masalah . awal-awal memang kencang , makin ke sini ya 11 - 12 sama indihome ."
0,"makanan tidak enak , kopyor banyak binatang nya dan gumpalan berisi minyak , sop buntut kuah nya rasa mecin , pelayan tidak membantu dan lama , dan makanan bisa dibilang cukup mahal . 1 star hanya untuk pemandangan . real not rekomendasi"
0,sulit sekali menasehati orang yang sudah fanatik dengan agama
